,action,left,light,next_waypoint,oncoming,reward,right
1049,forward,None,green,forward,None,2.0,forward
1050,right,None,green,forward,None,0.5,None
1051,left,None,red,left,None,-1.0,None
1052,forward,None,red,left,None,-1.0,None
1053,forward,None,red,left,None,-1.0,None
1054,right,None,green,left,None,0.5,None
1055,forward,None,green,right,None,0.5,None
1056,None,None,red,forward,None,1.0,None
1057,forward,None,green,forward,None,2.0,None
1058,right,None,red,forward,None,0.5,None
1059,forward,None,red,left,None,-1.0,None
1060,forward,None,red,left,None,-1.0,None
1061,None,None,green,left,None,1.0,None
1062,forward,None,green,left,None,0.5,None
1063,right,None,red,left,None,0.5,None
1064,forward,None,red,right,None,-1.0,None
1065,left,None,red,right,None,-1.0,None
1066,None,None,green,right,None,1.0,None
1067,forward,None,green,right,None,0.5,None
1068,right,None,red,forward,None,0.5,None
1069,left,None,green,left,None,2.0,None
1070,forward,None,green,forward,None,2.0,None
1071,forward,None,green,forward,None,2.0,None
1072,right,None,green,forward,None,0.5,None
1073,None,None,red,left,None,1.0,None
1074,left,None,red,left,None,-1.0,None
1075,None,None,red,left,None,1.0,None
1076,left,None,red,left,None,-1.0,None
1077,left,None,green,left,None,2.0,None
1078,None,None,red,forward,None,1.0,None
1079,left,None,red,forward,None,-1.0,None
1080,right,None,red,forward,None,0.5,None
1081,left,None,red,left,None,-1.0,None
1082,right,None,red,left,None,0.5,None
1083,forward,None,red,right,None,-1.0,None
1084,None,None,red,right,None,1.0,None
1085,right,None,red,right,None,2.0,None
1086,left,None,red,right,None,-1.0,None
1087,forward,None,green,right,None,0.5,None
1088,left,None,green,right,None,0.5,None
1089,left,None,green,right,None,0.5,None
1090,right,None,red,left,None,0.5,None
1091,None,None,red,right,None,1.0,None
1092,forward,None,red,right,None,-1.0,None
1093,left,None,green,right,None,0.5,None
1094,right,None,green,left,None,0.5,None
1095,None,None,green,right,None,1.0,None
1096,left,None,green,right,None,0.5,None
1097,right,None,red,left,None,0.5,None
1098,left,None,green,forward,None,0.5,None
1099,forward,None,green,right,None,0.5,None
1100,None,None,green,right,None,1.0,None
1101,None,None,green,right,None,1.0,None
1102,right,None,red,right,None,2.0,None
1103,left,None,green,forward,None,0.5,None
1104,forward,None,green,right,None,0.5,None
1105,None,None,red,right,None,1.0,None
1106,None,None,red,right,None,1.0,None
1107,forward,None,green,right,None,0.5,None
1108,right,forward,green,right,None,2.0,None
1109,None,None,red,left,None,1.0,None
1110,forward,None,red,left,None,-1.0,None
1111,forward,None,red,left,None,-1.0,None
1112,None,None,green,left,None,1.0,None
1113,forward,None,green,left,None,0.5,None
1114,right,None,red,right,None,2.0,None
1115,None,None,green,right,None,1.0,None
1116,None,None,green,right,None,1.0,None
1117,right,None,red,right,None,2.0,None
1118,right,None,red,left,None,0.5,None
1119,right,None,green,forward,None,0.5,None
1120,forward,None,red,right,None,-1.0,None
1121,None,None,red,right,None,1.0,None
1122,forward,None,red,right,None,-1.0,None
1123,left,None,green,right,None,0.5,None
1124,forward,None,green,left,None,0.5,None
1125,None,None,red,left,None,1.0,None
1126,right,None,green,left,None,0.5,None
1127,right,None,red,right,None,2.0,None
1128,forward,None,green,right,None,0.5,None
1129,None,None,red,right,None,1.0,None
1130,right,None,red,right,None,2.0,None
1131,left,None,green,forward,None,0.5,left
1132,right,None,green,right,None,2.0,None
1133,forward,None,green,left,None,0.5,None
1134,None,None,green,right,None,1.0,None
1135,None,None,green,right,None,1.0,None
1136,left,None,green,right,None,0.5,None
1137,left,None,red,left,None,-1.0,None
1138,right,None,red,left,None,0.5,None
1139,forward,None,red,right,None,-1.0,None
1140,forward,None,red,right,None,-1.0,None
1141,left,None,green,right,None,0.5,None
1142,right,None,green,left,forward,0.5,None
1143,right,None,green,forward,None,0.5,None
1144,left,None,red,left,None,-1.0,None
1145,left,None,red,left,None,-1.0,None
1146,forward,None,red,left,None,-1.0,None
1147,right,None,green,left,None,0.5,None
1148,right,None,green,forward,None,0.5,None
1149,None,None,green,left,None,1.0,None
1150,forward,None,red,left,left,-1.0,None
1151,forward,None,red,left,left,-1.0,None
1152,None,None,red,left,left,1.0,None
1153,forward,right,green,left,None,0.5,None
1154,left,None,red,left,None,-1.0,None
1155,right,None,red,left,None,0.5,None
1156,None,None,red,forward,None,1.0,None
1157,forward,None,red,forward,None,-1.0,None
1158,forward,None,red,forward,None,-1.0,None
1159,left,None,green,forward,None,0.5,None
1160,None,None,red,right,None,1.0,None
1161,forward,None,red,right,None,-1.0,None
1162,left,None,green,right,None,0.5,None
1163,right,None,green,forward,None,0.5,None
1164,left,None,red,left,None,-1.0,None
1165,None,None,green,left,None,1.0,None
1166,left,None,green,left,None,2.0,None
1167,right,None,red,forward,None,0.5,None
1168,None,None,green,left,None,1.0,None
1169,None,None,green,left,None,1.0,None
1170,forward,None,green,left,None,0.5,None
1171,None,None,red,left,None,1.0,None
1172,right,None,red,left,None,0.5,None
1173,right,None,green,right,None,2.0,None
1174,forward,None,green,right,None,0.5,None
1175,None,None,red,right,None,1.0,None
1176,left,None,red,right,None,-1.0,None
1177,None,None,green,right,None,1.0,None
1178,right,None,green,right,None,2.0,None
1179,forward,None,red,forward,None,-1.0,None
1180,left,None,red,forward,None,-1.0,None
1181,right,left,red,forward,None,0.5,None
1182,left,None,red,left,None,-1.0,None
1183,right,None,red,left,None,0.5,None
1184,None,None,red,right,None,1.0,None
1185,left,None,red,right,None,-1.0,None
1186,left,None,red,right,None,-1.0,None
1187,None,None,green,right,None,1.0,None
1188,left,None,green,right,None,0.5,None
1189,forward,None,red,left,None,-1.0,None
1190,left,None,red,left,None,-1.0,None
1191,forward,None,red,left,None,-1.0,None
1192,left,None,green,left,None,2.0,None
1193,right,None,green,forward,None,0.5,None
1194,None,None,green,left,None,1.0,None
1195,forward,None,green,left,None,0.5,None
1196,left,None,green,left,None,2.0,None
1197,forward,None,red,right,None,-1.0,None
1198,left,None,red,right,None,-1.0,None
1199,right,None,red,right,None,2.0,None
1200,forward,None,green,right,None,0.5,None
1201,forward,None,green,right,None,0.5,None
1202,right,None,green,right,None,2.0,None
1203,None,None,red,forward,None,1.0,None
1204,forward,None,red,forward,None,-1.0,None
1205,right,None,green,forward,None,0.5,None
1206,right,None,red,left,None,0.5,None
1207,right,None,green,right,None,2.0,None
1208,right,None,green,right,None,2.0,None
1209,None,None,green,forward,None,1.0,None
1210,None,forward,red,forward,None,1.0,None
1211,None,None,red,forward,None,1.0,None
1212,None,None,red,forward,None,1.0,None
1213,right,None,red,forward,None,0.5,None
1214,forward,None,green,left,None,0.5,None
1215,forward,None,red,left,None,-1.0,None
1216,None,None,red,left,None,1.0,None
1217,right,None,red,left,None,0.5,None
1218,forward,None,green,right,None,0.5,None
1219,forward,None,green,right,None,0.5,None
1220,forward,None,red,right,None,-1.0,None
1221,left,None,red,right,None,-1.0,None
1222,right,None,red,right,None,2.0,None
1223,right,None,red,right,None,2.0,None
1224,forward,None,green,forward,None,2.0,None
1225,forward,None,green,forward,None,2.0,None
1226,left,None,green,forward,None,0.5,None
1227,left,None,red,right,None,-1.0,None
1228,left,None,red,right,None,-1.0,None
1229,forward,None,red,right,None,-1.0,None
1230,forward,right,green,right,None,0.5,None
1231,right,None,red,right,None,2.0,None
1232,right,None,green,forward,None,0.5,None
1233,left,None,green,left,right,2.0,None
1234,right,None,green,forward,None,0.5,None
1235,None,None,green,left,None,1.0,None
1236,left,None,green,left,None,2.0,None
1237,forward,None,red,right,None,-1.0,None
1238,right,None,red,right,None,2.0,None
1239,None,None,green,forward,None,1.0,None
1240,right,None,green,forward,None,0.5,None
1241,None,None,red,left,None,1.0,None
1242,left,None,green,left,None,2.0,None
1243,right,None,red,forward,None,0.5,None
1244,None,None,green,left,None,1.0,None
1245,right,None,green,left,None,0.5,None
1246,left,None,green,right,None,0.5,None
1247,right,None,green,left,None,0.5,None
1248,forward,None,green,right,None,0.5,None
1249,left,None,green,right,None,0.5,None
1250,right,None,red,left,None,0.5,None
1251,None,None,green,right,None,1.0,None
1252,forward,None,red,right,None,-1.0,None
1253,left,None,red,right,None,-1.0,None
1254,right,None,red,right,None,2.0,None
1255,left,None,green,right,None,0.5,None
1256,left,None,green,right,None,0.5,None
1257,forward,None,green,left,None,0.5,None
1258,None,None,red,left,None,1.0,None
1259,forward,None,red,left,None,-1.0,None
1260,left,None,red,left,None,-1.0,None
1261,None,None,green,left,None,1.0,None
1262,forward,None,green,left,None,0.5,None
1263,left,None,red,left,None,-1.0,None
1264,left,None,green,left,None,2.0,None
1265,None,None,green,forward,None,1.0,None
1266,None,None,green,forward,None,1.0,None
1267,forward,None,green,forward,None,2.0,None
1268,None,None,green,forward,None,1.0,None
1269,right,None,green,forward,None,0.5,None
1270,left,None,red,left,None,-1.0,None
1271,right,None,red,left,None,0.5,None
1272,right,None,green,right,None,2.0,None
1273,left,None,red,right,None,-1.0,None
1274,forward,None,red,right,None,-1.0,None
1275,right,None,red,right,None,2.0,None
1276,right,None,red,forward,left,0.5,None
1277,forward,None,red,left,None,-1.0,None
1278,forward,None,red,left,None,-1.0,None
1279,right,None,red,left,None,0.5,None
1280,left,None,red,right,None,-1.0,None
1281,right,None,red,right,None,2.0,None
1282,forward,None,red,right,None,-1.0,None
1283,right,None,red,right,None,2.0,None
1284,right,None,red,forward,None,0.5,None
1285,right,None,green,left,None,0.5,None
1286,right,None,green,right,None,2.0,None
1287,left,forward,green,right,None,0.5,None
1288,None,None,red,right,None,1.0,None
1289,left,None,red,right,None,-1.0,None
1290,right,None,red,right,None,2.0,None
1291,None,None,green,right,None,1.0,None
1292,None,None,green,right,None,1.0,None
1293,None,None,green,right,None,1.0,None
1294,forward,None,red,right,None,-1.0,None
1295,left,None,red,right,None,-1.0,None
1296,forward,None,red,right,None,-1.0,None
1297,left,None,green,right,None,0.5,None
1298,None,None,green,forward,None,1.0,None
1299,None,None,green,forward,None,1.0,None
1300,None,None,red,forward,None,1.0,None
1301,right,None,red,forward,None,0.5,None
1302,forward,None,green,left,None,0.5,None
1303,forward,None,green,left,None,0.5,None
1304,right,None,red,left,None,0.5,None
1305,forward,None,red,forward,None,-1.0,None
1306,right,None,red,forward,None,0.5,None
1307,left,None,green,left,None,2.0,None
1308,right,None,green,forward,None,0.5,None
1309,right,None,red,left,None,0.5,None
1310,None,None,red,right,None,1.0,None
1311,forward,None,red,right,None,-1.0,None
1312,None,None,green,right,None,1.0,None
1313,None,None,green,right,None,1.0,None
1314,right,None,green,right,None,2.0,None
1315,right,None,red,right,None,2.0,None
1316,forward,None,red,forward,None,-1.0,None
1317,None,None,green,forward,None,1.0,None
1318,None,None,green,forward,None,1.0,None
1319,None,None,green,forward,None,1.0,None
1320,None,None,green,forward,None,1.0,None
1321,forward,None,green,forward,None,2.0,None
1322,right,None,red,forward,None,0.5,None
1323,forward,None,red,left,None,-1.0,None
1324,forward,None,green,left,None,0.5,None
1325,left,None,green,left,None,2.0,None
1326,left,None,red,forward,None,-1.0,None
1327,None,None,green,forward,None,1.0,None
1328,forward,None,green,forward,None,2.0,None
1329,left,None,green,forward,None,0.5,None
1330,left,None,red,right,None,-1.0,None
1331,right,None,red,right,None,2.0,None
1332,forward,None,red,forward,None,-1.0,None
1333,None,None,green,forward,None,1.0,None
1334,right,None,green,forward,None,0.5,None
1335,forward,None,red,left,None,-1.0,None
1336,None,None,red,left,None,1.0,None
1337,None,None,green,left,None,1.0,None
1338,forward,None,green,left,None,0.5,None
1339,left,None,red,left,None,-1.0,None
1340,right,None,red,left,None,0.5,None
1341,forward,None,green,right,None,0.5,None
1342,forward,None,red,right,None,-1.0,None
1343,right,None,red,right,None,2.0,None
1344,forward,None,green,right,None,0.5,None
1345,None,None,green,right,right,1.0,None
1346,None,None,green,right,None,1.0,None
1347,forward,None,green,right,None,0.5,None
1348,right,None,red,right,None,2.0,None
1349,forward,None,red,forward,None,-1.0,None
1350,forward,None,red,forward,None,-1.0,None
1351,left,None,red,forward,None,-1.0,None
1352,None,None,green,forward,None,1.0,None
1353,left,None,green,forward,None,0.5,None
1354,right,None,red,right,None,2.0,None
1355,left,None,red,forward,None,-1.0,None
1356,right,None,red,forward,None,0.5,None
1357,None,None,green,left,None,1.0,None
1358,forward,None,green,left,None,0.5,None
1359,forward,None,red,left,None,-1.0,None
1360,left,None,red,left,None,-1.0,None
1361,left,None,green,left,None,2.0,None
1362,forward,None,green,right,None,0.5,None
1363,left,None,green,right,None,0.5,None
1364,forward,None,green,left,None,0.5,None
1365,right,None,red,left,None,0.5,None
1366,forward,None,green,forward,None,2.0,left
1367,forward,None,green,forward,None,2.0,None
1368,forward,None,green,forward,None,2.0,None
1369,left,None,green,forward,None,0.5,None
1370,forward,None,green,right,None,0.5,None
1371,left,None,red,right,None,-1.0,None
1372,left,None,green,right,None,0.5,None
1373,None,None,red,right,None,1.0,None
1374,right,None,red,right,None,2.0,None
1375,right,None,red,right,None,2.0,None
1376,left,None,red,forward,None,-1.0,None
1377,None,None,green,forward,None,1.0,None
1378,None,None,green,forward,None,1.0,None
1379,None,None,green,forward,None,1.0,None
1380,None,None,green,forward,None,1.0,None
1381,left,None,green,forward,None,0.5,None
1382,None,None,green,right,None,1.0,None
1383,left,None,green,right,None,0.5,None
1384,left,None,red,right,None,-1.0,None
1385,left,None,red,right,None,-1.0,None
1386,None,None,red,right,None,1.0,None
1387,forward,None,green,right,None,0.5,None
1388,right,None,green,right,None,2.0,None
1389,left,None,red,right,None,-1.0,None
1390,right,None,red,right,None,2.0,None
1391,right,None,green,forward,None,0.5,None
1392,None,None,green,left,None,1.0,None
1393,forward,None,red,left,None,-1.0,None
1394,left,None,red,left,None,-1.0,None
1395,forward,None,red,left,None,-1.0,None
1396,None,None,green,left,None,1.0,left
1397,right,None,green,left,None,0.5,left
1398,None,None,green,right,None,1.0,None
1399,None,None,green,right,None,1.0,None
1400,forward,None,green,right,None,0.5,None
1401,forward,None,red,right,None,-1.0,None
1402,left,None,green,right,None,0.5,None
1403,right,None,red,left,None,0.5,None
1404,left,None,red,forward,None,-1.0,None
1405,left,None,green,forward,None,0.5,None
1406,left,None,green,right,None,0.5,None
1407,None,None,green,forward,None,1.0,None
1408,right,None,red,forward,None,0.5,None
1409,left,None,red,left,None,-1.0,None
1410,forward,None,red,left,None,-1.0,None
1411,right,None,red,left,None,0.5,None
1412,None,None,red,forward,None,1.0,None
1413,right,None,red,forward,None,0.5,None
1414,right,None,green,left,None,0.5,None
1415,forward,None,red,forward,None,-1.0,None
1416,None,None,red,forward,None,1.0,None
1417,right,None,green,forward,None,0.5,None
1418,right,None,red,left,None,0.5,None
1419,left,None,red,forward,None,-1.0,None
1420,left,None,green,forward,None,0.5,None
1421,None,None,green,right,None,1.0,None
1422,forward,None,red,right,None,-1.0,None
1423,None,None,red,right,None,1.0,None
1424,left,None,red,right,None,-1.0,None
1425,forward,None,red,right,None,-1.0,None
1426,None,None,red,right,None,1.0,None
1427,right,None,green,right,None,2.0,None
1428,forward,None,red,left,None,-1.0,None
1429,forward,None,green,left,None,0.5,None
1430,right,None,green,right,None,2.0,None
1431,left,None,red,right,forward,-1.0,None
1432,left,None,red,right,forward,-1.0,None
1433,forward,None,green,right,None,0.5,None
1434,right,None,green,right,None,2.0,None
1435,None,None,red,right,None,1.0,None
1436,right,None,red,right,None,2.0,None
1437,right,None,green,forward,forward,0.5,None
1438,left,None,green,right,None,0.5,None
1439,left,None,red,left,None,-1.0,None
1440,forward,None,red,left,None,-1.0,None
1441,right,None,red,left,None,0.5,None
1442,forward,None,red,right,None,-1.0,None
1443,forward,None,red,right,None,-1.0,None
1444,left,None,green,right,None,0.5,None
1445,right,None,red,left,None,0.5,None
1446,forward,None,green,right,None,0.5,None
1447,left,None,green,right,None,0.5,None
1448,left,None,red,left,None,-1.0,None
1449,left,None,red,left,None,-1.0,None
1450,None,right,green,left,None,1.0,None
1451,forward,None,green,left,None,0.5,None
1452,right,None,green,left,None,0.5,None
1453,None,None,green,right,None,1.0,None
1454,forward,None,green,right,None,0.5,None
1455,forward,None,red,right,None,-1.0,None
1456,None,None,green,right,None,1.0,None
1457,None,None,green,right,None,1.0,None
1458,right,None,green,right,None,2.0,None
1459,left,None,green,right,None,0.5,None
1460,left,None,green,forward,None,0.5,None
1461,right,None,red,right,None,2.0,None
1462,None,None,green,left,None,1.0,None
1463,None,None,green,left,None,1.0,None
1464,None,None,green,left,None,1.0,None
1465,left,None,green,left,None,2.0,None
1466,forward,None,green,forward,None,2.0,None
1467,None,None,green,forward,None,1.0,None
1468,forward,None,green,forward,None,2.0,None
1469,None,None,red,forward,None,1.0,None
1470,None,None,red,forward,None,1.0,None
1471,right,None,red,forward,None,0.5,None
1472,None,None,red,right,None,1.0,None
1473,right,None,red,right,None,2.0,None
1474,None,None,green,right,None,1.0,None
1475,forward,None,green,right,None,0.5,None
1476,left,None,green,right,None,0.5,None
1477,forward,None,green,right,None,0.5,None
1478,None,None,green,right,None,1.0,None
1479,left,None,green,right,None,0.5,None
1480,right,None,red,left,None,0.5,None
1481,left,None,green,right,None,0.5,None
1482,left,None,red,left,None,-1.0,None
1483,right,None,green,left,None,0.5,None
1484,right,None,red,right,None,2.0,None
1485,left,None,red,right,None,-1.0,None
1486,right,None,red,right,None,2.0,None
1487,left,None,green,forward,None,0.5,None
1488,right,None,red,right,None,2.0,None
1489,left,None,green,forward,None,0.5,None
1490,left,None,red,right,None,-1.0,None
1491,right,None,red,right,None,2.0,None
1492,right,None,red,forward,None,0.5,None
1493,right,None,green,left,None,0.5,None
1494,right,None,red,right,None,2.0,None
1495,right,None,green,right,None,2.0,None
1496,right,None,red,forward,None,0.5,None
1497,None,right,red,left,None,1.0,None
1498,forward,None,red,left,None,-1.0,None
1499,None,None,red,left,None,1.0,None
1500,left,None,red,left,None,-1.0,None
1501,None,None,red,left,None,1.0,None
1502,left,None,green,left,None,2.0,None
1503,left,None,red,forward,None,-1.0,None
1504,forward,None,red,forward,None,-1.0,None
1505,None,None,red,forward,None,1.0,None
1506,forward,None,red,forward,None,-1.0,None
1507,None,None,green,forward,None,1.0,None
1508,left,None,green,forward,None,0.5,None
1509,None,None,green,right,None,1.0,None
1510,right,None,green,right,None,2.0,None
1511,left,None,red,right,None,-1.0,None
1512,right,None,green,right,None,2.0,None
1513,right,None,green,forward,None,0.5,None
1514,right,None,red,right,None,2.0,None
1515,right,None,red,right,None,2.0,None
1516,None,None,green,right,None,1.0,None
1517,forward,None,red,right,None,-1.0,None
1518,None,None,red,right,None,1.0,None
1519,forward,None,red,right,forward,-1.0,None
1520,left,None,red,right,forward,-1.0,None
1521,forward,None,red,right,forward,-1.0,None
1522,right,None,green,right,None,2.0,None
1523,left,None,green,forward,None,0.5,None
1524,right,None,red,right,None,2.0,None
1525,left,None,green,right,None,0.5,None
1526,right,None,red,forward,None,0.5,None
1527,forward,None,red,left,None,-1.0,None
1528,right,None,red,left,None,0.5,None
1529,right,None,red,forward,None,0.5,None
1530,None,None,red,left,None,1.0,None
1531,None,None,green,left,None,1.0,None
1532,forward,None,green,left,None,0.5,None
1533,forward,None,green,left,None,0.5,None
1534,forward,None,green,left,None,0.5,None
1535,left,None,green,left,None,2.0,None
1536,None,None,green,left,None,1.0,None
1537,None,None,red,left,None,1.0,None
1538,forward,None,red,left,None,-1.0,None
1539,None,None,red,left,None,1.0,None
1540,None,None,green,left,None,1.0,None
1541,None,None,green,left,None,1.0,None
1542,right,None,green,left,None,0.5,None
1543,None,None,red,forward,None,1.0,None
1544,forward,None,red,forward,None,-1.0,None
1545,forward,None,red,forward,None,-1.0,None
1546,left,None,green,forward,None,0.5,None
1547,right,None,green,right,None,2.0,None
1548,None,None,green,forward,None,1.0,None
1549,right,None,green,forward,None,0.5,None
1550,forward,None,green,left,None,0.5,None
1551,left,None,red,left,None,-1.0,None
1552,left,None,green,left,None,2.0,None
1553,right,None,green,forward,None,0.5,None
1554,None,None,red,left,None,1.0,None
1555,right,None,red,left,None,0.5,None
1556,left,None,green,right,None,0.5,None
1557,left,None,green,left,None,2.0,None
1558,forward,None,green,forward,None,2.0,None
1559,left,None,red,left,None,-1.0,None
1560,forward,None,red,left,None,-1.0,None
1561,left,None,green,left,None,12.0,None
